site_id (provided geohash), actual geohash, lat, lon
gcm8dw51gpm2, gcm8dw51gpj6, 52.152438, -3.401506
gcpgfuw63mbf, gcpgfumznsjx, 51.30875, -0.22253
u121rkybrev9, u121rkybretp, 52.277132, 0.328202
u123r8pjju87, u123r8pgkdch, 52.25155, 0.69199
gcybu0xj0q9b, gcybu0xj0q3g, 54.979225, -1.572405
gfjckcfwhmv9, gfjckcfw5wvc, 56.480406, -2.951731
gcnty0nqqshf, gcntwrbk7d8b, 51.635112, -1.834222
gcn8epp9rm08, gcn8eppcnchc, 50.75152, -1.9666
gcqfh9xp9g5b, gcqfhc6eyx24, 52.390362, -1.54536
gcqe9z1wk0rp, gcqe9wtsw3km, 52.68297, -2.03563
u10gbcnm9qb4, u10gbcpspnpz, 51.290393, 1.098257
gcjsxx3099sd, gcjsxx4pcg76, 51.455816, -3.183209
gcny7wrs1ckm, gcny7y0r410r, 51.7578, -1.592588
gcjvkpbkbqm2, gcjvkpbj4smc, 51.591305, -2.988166
gcqptjdfk3ry, gcqptjdus0bh, 53.380599, -2.588825
gcqg5qggnbq1, gcqg5qu778ds, 52.596234, -1.609
gcybh1mz0wr7, gcybh1tc4d77, 54.852174, -1.574023
gcw2x7cf623h, gcw2x7fs0ytd, 53.546712, -2.138861
u10k8fzv2xg3, u10k8fztx2x4, 51.432069, 0.395142
gcn8tthhbqde, gcn8tthjeerj, 50.741319, -1.862023
u10k5e4990s8, u10k5e6s8zmt, 51.34679, 0.508844
gcnrpw3ev103, gcnrpw9fy4fv, 51.891662, -2.128683
gcpph52vmjym, gcpps8vqv7wx, 51.948658, -1.201052
gcvwnj52htgj, gcvwnj5250jk, 55.925904, -3.247354
gcp1cque463p, gcp1cqu3zu9d, 50.970021, -1.345147
gcnv0f2tjrq3, gcnv0cbyy7fm, 51.514699, -1.723552
gcw15vhc51ms, gcw15vhc51q5, 53.640926, -2.641045
gcw1hnksjbf9, gcw1hnmnbkb3, 53.648798, -2.629841
gcn8xk6gjn4f, gcn8xk6gn7rn, 50.73677, -1.786717
gcw24g7zthk0, gcw24gddbb8r, 53.457202, -2.336622
u10ydq5qvpzz, u10ydq741rww, 51.802295, 1.157747
gcw1ef1wbwr4, gcw1ef1z81pm, 53.713452, -2.645292
gcmvf43w1r1k, gcmvf43q1vcd, 53.055413, -3.074378
u10x5ehnesgd, u10x5ehnemj0, 51.873091, 0.862573
gcpvd06dbtke, gcpvd06dbsnc, 51.593664, -0.260208
gceny991w6cu, gceny6p8hcyj, 54.63502, -6.74608
gcpfvszy8srf, gcpfvv14w6bk, 51.136309, -0.097235
gcrd8s862dv8, gcrd8s1yfs5w, 52.493857, -0.678637
gcwfq90gxt8w, gcwfq936h88u, 53.840221, -1.470257
